Unnamed: 0,create_age(months),expiry_age(months),update_age(days),URL,Label,url_l,url_dot_qty,url_hyphen_qty,url_underline_qty,url_slash_qty,url_question_qty,url_equals_qty,url_at_qty,url_and_qty,url_exclamation_qty,url_tilde_qty,url_comma_qty,url_plus_qty,url_asterisk_qty,url_hashtag_qty,url_percent_qty,domain_length,domain_dot_qty,domain_hyphen_qty,path_length_qty,path_dot_qty,path_hyphen_qty,param_length,domain_in_ip,domain_has_client_server,domain_vowel_qty,tld_length
1294,200,40,114,http://www.classteacher.com/...,,31,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,2,0,4,3,0,0,0,0,5,3
4205,210,6,181,http://www.deadendrecords.com/...,,33,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,22,2,0,4,3,0,0,0,0,6,3
3902,98,22,81,http://www.specialisttrading.com/charts/4rfv/Log-in-to-your-PayPal-acc...,,73,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,25,2,0,41,3,5,0,0,0,7,3
970,-1,-1,-1,http://www.mingshun.com.tw/...,,30,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,3,0,4,3,0,0,0,0,3,6
3762,181,11,426,http://www.jers.com/...,,23,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,2,0,4,3,0,0,0,0,2,3
5123,-1,-1,-1,http://signin.ebay.de.ws.ebayisapi.dll.signin.usingssl.epc9b1bterrwrfb...,,73,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,66,11,0,0,-1,-1,0,0,0,16,0
5828,-1,3,-1,http://los4acuerdos.com.mx/SEMS/new.admin.account/fcb3ac36d42bb3f02ca8...,,73,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,19,2,0,47,5,0,0,0,0,6,6
2833,130,2,299,http://www.kf25zx.com/images/?us.battle.net/login/en/?ref=http:...,,66,7,0,0,7,2,1,0,0,0,0,0,0,0,0,0,14,2,0,8,0,0,1,0,0,1,3
6922,-1,-1,-1,http://cgm.cs.mcgill.ca/~godfried/teaching/pr-web.html...,,57,7,1,0,5,0,0,0,0,0,1,0,0,0,0,0,16,3,0,34,4,1,0,0,0,2,2
5530,3,9,79,http://www.monfactufree.com/freemobilemoncompte589/73677fc90f6b57e994b...,,73,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,2,0,46,3,0,0,0,0,6,3
4709,-1,-1,-1,http://www.roseiradevistaalegre.com.br/sin/Outloook/login%20(2).html...,,71,7,0,0,5,0,0,0,0,0,0,0,0,0,0,1,31,3,0,33,4,0,0,0,0,11,6
5169,245,55,251,http://www.sen-dure.com/...,,27,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,16,2,1,4,3,0,0,0,0,4,3
6905,-1,-1,-1,http://projects.exeter.ac.uk/RDavies/arian/scandals/...,,55,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,21,3,0,27,3,0,0,0,0,7,5
994,41,7,151,http://vega-books.com/language/fr-FR/.as/Alibaba.com.php?userid=abuse@...,,73,7,2,0,6,1,1,1,0,0,0,0,0,0,0,0,14,1,1,35,3,1,1,0,0,5,3
4241,262,50,359,http://www.journals.cup.org/action/displayJournal?jid=QRB...,,60,6,0,0,4,1,1,0,0,0,0,0,0,0,0,0,20,3,0,22,0,0,1,0,0,5,3
2841,-1,-1,-1,http://www.airtel.in/digital-tv/home/...,,40,5,1,0,5,0,0,0,0,0,0,0,0,0,0,0,13,2,0,20,3,1,0,0,0,4,2
2759,178,2,2217,http://www.robotslife.com/...,,29,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,2,0,4,3,0,0,0,0,5,3
